Letter,Spoken Form
a,air
b,bat
c,cap
d,drum
e,each
f,fine
g,cost
h,harp
i,ink
j,joke
k,crunch
l,look
m,made
n,near
o,ork
p,pit
q,quench
r,red
s,sky
t,trap
u,urch
v,vest
w,whale
x,taxi
y,yank
z,zebra
